type,name,duration,interval
note,F5,0.25,M9
note,F4,0.25,d8
note,E-5,0.25,d7
chord,G3.G2,0.5,P8
note,E-4,0.25,m7
note,D5,0.25,m13
chord,B3.B2,1.0,m17
note,G4,0.25,P15
note,B4,0.25,A13
note,D5,0.25,A10
note,F5,0.25,M10
note,B4,0.25,M13
note,D5,0.25,M16
note,F5,0.25,d18
note,B5,0.25,P15
note,D5,0.25,A12
note,F5,0.25,P12
note,B5,0.25,M9
note,D6,0.25,P8
note,G5,0.25,P11
note,B5,0.25,m10
note,D6,0.25,M2
note,F6,0.25,M2
note,E-6,0.25,m2
note,D6,0.25,m2
note,C6,0.25,P5
note,B5,0.25,d7
chord,B3.D4.G4,0.75,d1
note,G#5,0.25,M10
note,G5,0.25,M3
note,F5,0.25,m3
note,E-5,0.5,P4
chord,G4.E-4.C4,1.0,m3
note,G5,0.5,m3
chord,C4.G3.E-3,1.0,M3
note,C5,0.25,d19
note,D5,0.5,P15
chord,D4.G#3.F3,1.0,M3
note,F5,0.5,M3
chord,F4.D4.G3,1.0,P4
note,B4,0.25,M3
note,C5,0.5,P8
note,C4,0.5,M10
note,G5,0.5,P12
note,E-4,0.5,P15
note,F5,0.5,A13
note,G4,0.5,A9
note,E-5,0.5,M9
note,E-4,0.5,d8
note,D5,0.5,d7
note,B3,0.5,P8
note,G#5,0.5,m7
note,F4,0.5,P8
note,G5,0.5,M10
note,G#4,0.5,P8
note,F5,0.5,m10
note,F4,0.5,P8
note,E-5,0.5,M13
note,C4,0.5,P15
note,E-6,0.5,m14
note,E-4,0.5,m17
note,D6,0.5,P15
note,G4,0.5,M13
note,C6,0.5,P11
note,E-4,0.5,P8
note,B5,0.5,A6
note,F3,0.5,A9
note,D6,0.5,M9
note,D4,0.5,M10
note,G5,0.5,M3
note,G3,0.5,m3
note,B5,0.5,P4
note,F4,0.5,m3
note,C6,0.5,m3
note,C4,0.5,M3
note,G5,0.5,d19
note,E-4,0.5,P15
note,F5,0.5,M3
note,G4,0.5,M3
note,E-5,0.5,P4
note,E-4,0.5,M3
note,D5,0.5,m13
note,B-3,0.5,P15
note,G#5,0.5,P19
note,F4,0.5,P22
note,G5,0.5,A20
note,G#4,0.5,A16
note,F5,0.5,M16
note,F4,0.5,d15
note,E-5,0.5,d14
note,G3,0.5,P15
note,B-5,0.5,m14
note,B-3,0.5,m3
note,G#5,0.5,M6
note,E-4,0.5,P4
note,G5,0.5,m3
note,B-3,0.5,P8
note,C6,0.5,d1
note,G#3,0.5,P5
note,G#5,0.5,M2
note,C4,0.5,A4
note,G5,0.5,M2
note,F4,0.5,m3
note,F5,0.5,M6
note,C4,0.5,P4
note,E-5,0.5,m3
chord,D4.B-3,1.0,P8
note,D5,0.5,d1
note,C5,0.5,P5
note,B-4,0.5,M2
note,A4,0.5,A4
note,B-4,0.5,M2
note,F5,0.5,M2
note,G#4,0.5,M2
note,G4,1.0,m2
note,E-3,0.5,M2
note,G3,0.5,M2
chord,G4.E-4,1.0,P8
note,B-3,0.5,P1
note,G3,0.5,P1
chord,G4.E-4,1.0,P8
note,D3,0.5,P1
note,G3,0.5,P1
chord,G4.E-4,1.0,P1
note,B-3,0.5,P1
note,G3,0.5,P1
chord,G4.E-4,1.0,P8
note,C3,0.5,P1
note,E-3,0.5,P1
chord,G4.E-4,1.0,P8
note,G3,0.5,P1
note,E-3,0.5,P1
chord,E-4.G4,1.75,P1
note,A2,0.5,P1
note,E-5,1.5,P1
note,E-3,0.5,P8
note,G3,0.5,P1
note,E-3,0.5,P1
chord,G4.B-4.G5,1.25,P8
note,B-2,0.5,P1
note,E-3,0.5,P1
note,G3,0.5,P1
note,G4,0.5,P8
note,E-3,0.5,P1
note,B-4,0.5,P1
note,B-2,0.5,P1
note,G#4,0.5,P8
note,F3,0.5,P1
note,G4,0.5,P1
note,G#3,0.5,P1
note,F4,0.5,P1
note,F3,0.5,P8
note,E-4,0.5,P1
note,E-3,0.5,P1
note,G4,0.5,P8
note,G3,0.5,P1
note,B-4,0.5,P1
note,B-3,0.5,P8
note,G5,0.5,P1
note,G3,0.5,P1
note,F5,0.5,P1
note,D3,0.5,P8
note,D5,0.5,M3
note,F3,0.5,m3
note,B-4,0.5,A2
note,B-3,0.5,m3
note,G#4,0.5,M3
note,F3,0.5,m3
note,G4,1.0,m3
note,E-3,0.5,m3
note,G3,0.5,m2
chord,G4.E-4,1.0,P15
note,B-3,0.5,P5
note,G3,0.5,m6
chord,G4.E-4,1.0,M13
note,D3,0.5,m2
note,G3,0.5,M17
chord,G4.E-4,1.0,P18
note,B-3,0.5,M2
note,G3,0.5,M23
chord,G4.E-4,1.0,P22
note,C3,0.5,m3
note,E-3,0.5,m20
chord,G4.E-4,1.0,P19
note,G3,0.5,m3
note,E-3,0.5,M16
chord,E-4.G4,1.75,P15
note,A2,0.5,m2
note,E-5,1.5,P19
note,E-3,0.5,m21
note,G3,0.5,M20
note,E-3,0.5,M17
chord,G4.B-4.G5,1.25,P5
note,B-2,0.5,P15
note,E-3,0.5,M2
note,G3,0.5,P18
note,E-5,0.5,M17
note,E-3,0.5,d5
note,B-5,0.5,d26
note,B-2,0.5,d25
note,G#5,0.5,m2
note,F3,0.5,P19
note,G5,0.5,P18
note,G#3,0.5,m2
note,F5,0.5,M13
note,F3,0.5,A11
note,E-5,0.5,d1
chord,G3.E-3,1.0,P15
note,G5,0.5,P18
note,B-5,0.5,m17
note,G6,0.5,m13
note,D6,0.5,m6
note,F6,0.5,M13
note,F5,0.5,m2
chord,B-4.F4.D4,1.0,M17
note,G#5,0.5,P18
note,G5,0.5,M2
chord,B-4.G4.E-4,0.5,M23
